# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   8700    1.56e+00  1.45e+00    7.84e-03  1.05e-02    4.93e-02  4.57e-02    5.0e-03
   8800    1.96e+00  1.94e+00    8.92e-03  9.83e-03    6.20e-02  6.15e-02    5.0e-03
   8900    2.29e+00  1.89e+00    9.58e-03  9.85e-03    7.25e-02  5.98e-02    5.0e-03
   9000    1.51e+00  1.31e+00    7.25e-03  1.17e-02    4.79e-02  4.16e-02    5.0e-03
   9100    1.56e+00  1.70e+00    6.06e-03  8.54e-03    4.94e-02  5.36e-02    5.0e-03
   9200    2.17e+00  1.90e+00    5.59e-03  1.02e-02    6.86e-02  6.02e-02    5.0e-03
   9300    1.37e+00  1.41e+00    6.93e-03  7.22e-03    4.33e-02  4.45e-02    5.0e-03
   9400    3.13e+00  2.97e+00    1.26e-02  1.18e-02    9.89e-02  9.40e-02    5.0e-03
   9500    2.78e+00  2.95e+00    1.41e-02  1.13e-02    8.80e-02  9.34e-02    5.0e-03
   9600    3.17e+00  4.33e+00    6.52e-03  9.93e-03    1.00e-01  1.37e-01    5.0e-03
   9700    4.24e+00  4.21e+00    1.99e-02  2.18e-02    1.34e-01  1.33e-01    5.0e-03
   9800    2.33e+00  2.81e+00    7.09e-03  9.63e-03    7.38e-02  8.87e-02    5.0e-03
   9900    1.53e+00  1.57e+00    1.06e-02  1.13e-02    4.83e-02  4.96e-02    5.0e-03
  10000    1.51e+00  1.49e+00    8.90e-03  1.07e-02    4.78e-02  4.71e-02    5.0e-03
  10100    1.63e+00  1.59e+00    6.76e-03  1.12e-02    5.15e-02  5.01e-02    5.0e-03
  10200    1.68e+00  1.78e+00    1.22e-02  6.26e-03    5.32e-02  5.63e-02    5.0e-03
  10300    1.50e+00  1.60e+00    1.03e-02  1.07e-02    4.73e-02  5.06e-02    5.0e-03
  10400    2.47e+00  2.07e+00    1.26e-02  1.44e-02    7.81e-02  6.55e-02    5.0e-03
  10500    2.35e+00  2.39e+00    8.40e-03  7.11e-03    7.44e-02  7.56e-02    5.0e-03
  10600    2.22e+00  1.78e+00    9.06e-03  8.82e-03    7.01e-02  5.63e-02    5.0e-03
  10700    1.71e+00  1.53e+00    6.59e-03  9.72e-03    5.41e-02  4.85e-02    5.0e-03
  10800    1.98e+00  1.78e+00    1.07e-02  8.28e-03    6.27e-02  5.63e-02    5.0e-03
  10900    3.10e+00  2.56e+00    4.02e-03  8.62e-03    9.80e-02  8.10e-02    5.0e-03
  11000    4.38e+00  3.85e+00    1.48e-02  2.57e-02    1.38e-01  1.22e-01    5.0e-03
  11100    3.11e+00  3.31e+00    1.67e-02  1.38e-02    9.82e-02  1.05e-01    5.0e-03
  11200    7.37e+00  6.91e+00    1.79e-02  1.24e-02    2.33e-01  2.18e-01    5.0e-03
  11300    1.89e+00  1.68e+00    1.08e-02  8.88e-03    5.99e-02  5.30e-02    5.0e-03
  11400    1.67e+00  1.63e+00    1.16e-02  1.23e-02    5.29e-02  5.17e-02    5.0e-03
  11500    1.37e+00  1.27e+00    8.82e-03  8.50e-03    4.32e-02  4.01e-02    5.0e-03
  11600    1.30e+00  1.17e+00    8.02e-03  6.24e-03    4.10e-02  3.69e-02    5.0e-03
  11700    1.17e+00  1.22e+00    5.58e-03  9.40e-03    3.69e-02  3.85e-02    5.0e-03
  11800    1.24e+00  1.08e+00    5.16e-03  6.64e-03    3.93e-02  3.42e-02    5.0e-03
  11900    1.52e+00  1.44e+00    9.65e-03  5.65e-03    4.80e-02  4.55e-02    5.0e-03
  12000    1.43e+00  1.48e+00    4.53e-03  8.32e-03    4.52e-02  4.68e-02    5.0e-03
  12100    3.06e+00  2.84e+00    1.15e-02  6.37e-03    9.67e-02  8.97e-02    5.0e-03
